Player,Team,Age,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/G,Rate,Sk,Sack Yds,NY/A,ANY/A,Sk%
Matt Ryan,ATL,35,QB,16,16,407,626,65.0,4581,26,4.2,11,1.8,242,63,7.3,7.4,286.3,93.3,41,257,6.48,6.52,6.1
Tom Brady,TAM,43,QB,16,16,401,610,65.7,4633,40,6.6,12,2.0,233,50,7.6,8.0,289.6,102.2,21,143,7.12,7.53,3.3
Ben Roethlisberger,PIT,38,QB,15,15,399,608,65.6,3803,33,5.4,10,1.6,193,84,6.3,6.6,253.5,94.1,13,118,5.93,6.27,2.1
Justin Herbert,LAC,22,QB,15,15,396,595,66.6,4336,31,5.2,10,1.7,216,72,7.3,7.6,289.1,98.3,32,218,6.57,6.84,5.1
Patrick Mahomes *,KAN,25,QB,15,15,390,588,66.3,4740,38,6.5,6,1.0,238,75,8.1,8.9,316.0,108.2,22,147,7.53,8.33,3.6
Josh Allen *,BUF,24,QB,16,16,396,572,69.2,4544,37,6.5,10,1.7,228,55,7.9,8.5,284.0,107.2,26,159,7.33,7.82,4.3
Kyler Murray *,ARI,23,QB,16,16,375,558,67.2,3971,26,4.7,12,2.2,205,80,7.1,7.1,248.2,94.3,27,176,6.49,6.45,4.6
Russell Wilson *,SEA,32,QB,16,16,384,558,68.8,4212,40,7.2,13,2.3,213,62,7.5,7.9,263.3,105.1,47,301,6.46,6.82,7.8
Jared Goff,LAR,26,QB,15,15,370,552,67.0,3952,20,3.6,13,2.4,188,56,7.2,6.8,263.5,90.0,23,161,6.59,6.27,4.0
Deshaun Watson *,HOU,25,QB,16,16,382,544,70.2,4823,33,6.1,7,1.3,221,77,8.9,9.5,301.4,112.4,49,293,7.64,8.22,8.3
Philip Rivers,IND,39,QB,16,16,369,543,68.0,4169,24,4.4,11,2.0,200,55,7.7,7.7,260.6,97.0,19,118,7.21,7.18,3.4
Matthew Stafford,DET,32,QB,16,16,339,528,64.2,4084,26,4.9,10,1.9,205,73,7.7,7.9,255.3,96.3,38,254,6.77,6.89,6.7
Aaron Rodgers *+,GNB,37,QB,16,16,372,526,70.7,4299,48,9.1,5,1.0,216,78,8.2,9.6,268.7,121.5,20,182,7.54,8.89,3.7
Derek Carr,LVR,29,QB,16,16,348,517,67.3,4103,27,5.2,9,1.7,193,85,7.9,8.2,256.4,101.4,26,150,7.28,7.53,4.8
Kirk Cousins,MIN,32,QB,16,16,349,516,67.6,4265,35,6.8,13,2.5,212,71,8.3,8.5,266.6,105.0,39,256,7.22,7.43,7.0
Teddy Bridgewater,CAR,28,QB,15,15,340,492,69.1,3733,15,3.0,11,2.2,174,75,7.6,7.2,248.9,92.1,31,205,6.75,6.37,5.9
Baker Mayfield,CLE,25,QB,16,16,305,486,62.8,3563,26,5.3,8,1.6,188,75,7.3,7.7,222.7,95.9,26,162,6.64,6.96,5.1
Ryan Tannehill,TEN,32,QB,16,16,315,481,65.5,3819,33,6.9,7,1.5,202,75,7.9,8.7,238.7,106.5,24,173,7.22,7.90,4.8
Daniel Jones,NYG,23,QB,14,14,280,448,62.5,2943,11,2.5,10,2.2,148,53,6.6,6.1,210.2,80.4,45,286,5.39,4.92,9.1
Drew Lock,DEN,24,QB,13,13,254,443,57.3,2933,16,3.6,15,3.4,145,92,6.6,5.8,225.6,75.4,19,123,6.08,5.31,4.1
Carson Wentz,PHI,28,QB,12,12,251,437,57.4,2620,16,3.7,15,3.4,130,59,6.0,5.2,218.3,72.8,50,326,4.71,3.98,10.3
Drew Brees,NOR,41,QB,12,12,275,390,70.5,2942,24,6.2,6,1.5,149,52,7.5,8.1,245.2,106.4,13,89,7.08,7.60,3.2
Lamar Jackson,BAL,23,QB,15,15,242,376,64.4,2757,26,6.9,9,2.4,138,47,7.3,7.6,183.8,99.3,29,160,6.41,6.70,7.2
Cam Newton,NWE,31,QB,15,15,242,368,65.8,2657,8,2.2,10,2.7,133,50,7.2,6.4,177.1,82.9,31,195,6.17,5.44,7.8
Sam Darnold,NYJ,23,QB,12,12,217,364,59.6,2208,9,2.5,11,3.0,109,69,6.1,5.2,184.0,72.7,35,234,4.95,4.16,8.8
Jarvis Landry,CLE,28,WR,15,14,4,4,100.0,74,1,25.0,0,0.0,4,37,18.5,23.5,4.9,158.3,0,0,18.50,23.50,0.0
Travis Kelce*+,KAN,31,TE,15,15,1,2,50.0,4,0,0.0,0,0.0,1,4,2.0,2.0,0.3,56.2,0,0,2.00,2.00,0.0
Keenan Allen *,LAC,28,WR,14,13,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
D.J. Moore,CAR,23,WR,15,14,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
Zach Pascal,IND,26,WR,16,14,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,39.6,0,0,0.00,0.00,0.0
Logan Thomas,WAS,29,TE,16,15,1,1,100.0,28,0,0.0,0,0.0,1,28,28.0,28.0,1.8,118.7,0,0,28.00,28.00,0.0
